My Design - Energy Use| Total,My Design - Fuel Use| Electricity: Total,My Design - Fuel Use| Natural Gas: Total,My Design - End Use| Electricity: Heating,My Design - End Use| Electricity: Heating Fans/Pumps,My Design - End Use| Electricity: Cooling,My Design - End Use| Electricity: Cooling Fans/Pumps,My Design - End Use| Electricity: Lighting Interior,My Design - End Use| Electricity: Lighting Exterior,My Design - End Use| Electricity: Mech Vent,My Design - End Use| Electricity: Refrigerator,My Design - End Use| Electricity: Dishwasher,My Design - End Use| Electricity: Clothes Washer,My Design - End Use| Electricity: Clothes Dryer,My Design - End Use| Electricity: Range/Oven,My Design - End Use| Electricity: Television,My Design - End Use| Electricity: Plug Loads,My Design - End Use| Natural Gas: Hot Water,My Design - Emissions| CO2e: BEopt: Total,My Design - Emissions| CO2e: BEopt: Electricity: Total,My Design - Emissions| CO2e: BEopt: Natural Gas: Total,My Design - Emissions| CO2e: BEopt: Electricity: Heating,My Design - Emissions| CO2e: BEopt: Electricity: Heating Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Cooling,My Design - Emissions| CO2e: BEopt: Electricity: Cooling Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Interior,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Exterior,My Design - Emissions| CO2e: BEopt: Electricity: Mech Vent,My Design - Emissions| CO2e: BEopt: Electricity: Refrigerator,My Design - Emissions| CO2e: BEopt: Electricity: Dishwasher,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Washer,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Dryer,My Design - Emissions| CO2e: BEopt: Electricity: Range/Oven,My Design - Emissions| CO2e: BEopt: Electricity: Television,My Design - Emissions| CO2e: BEopt: Electricity: Plug Loads,My Design - Emissions| CO2e: BEopt: Natural Gas: Hot Water,My Design - Hot Water| Clothes Washer,My Design - Hot Water| Dishwasher,My Design - Hot Water| Fixtures,My Design - Hot Water| Distribution Waste,My Design - Load| Heating: Delivered,My Design - Load| Cooling: Delivered,My Design - Load| Hot Water: Delivered,My Design - Component Load| Heating: Roofs,My Design - Component Load| Heating: Ceilings,My Design - Component Load| Heating: Walls,My Design - Component Load| Heating: Doors,My Design - Component Load| Heating: Windows,My Design - Component Load| Heating: Slabs,My Design - Component Load| Heating: Internal Mass,My Design - Component Load| Heating: Infiltration,My Design - Component Load| Heating: Mechanical Ventilation,My Design - Component Load| Heating: Ducts,My Design - Component Load| Heating: Internal Gains,My Design - Component Load| Cooling: Roofs,My Design - Component Load| Cooling: Ceilings,My Design - Component Load| Cooling: Walls,My Design - Component Load| Cooling: Doors,My Design - Component Load| Cooling: Windows,My Design - Component Load| Cooling: Slabs,My Design - Component Load| Cooling: Internal Mass,My Design - Component Load| Cooling: Infiltration,My Design - Component Load| Cooling: Natural Ventilation,My Design - Component Load| Cooling: Mechanical Ventilation,My Design - Component Load| Cooling: Ducts,My Design - Component Load| Cooling: Internal Gains,My Design - Unmet Hours| Heating,My Design - Unmet Hours| Cooling,My Design - Temperature| Attic - Unvented,My Design - Temperature| Living Space,My Design - Temperature| Heating Setpoint,My Design - Temperature| Cooling Setpoint,My Design - Airflow| Infiltration,My Design - Airflow| Mechanical Ventilation,My Design - Airflow| Natural Ventilation,My Design - Weather| Drybulb Temperature,My Design - Weather| Wetbulb Temperature,My Design - Weather| Relative Humidity,My Design - Weather| Wind Speed,My Design - Weather| Diffuse Solar Radiation,My Design - Weather| Direct Solar Radiation
5.1,1.06,1.49,0,0,0.27,0.08,0.15,0.01,0.02,0.05,0.01,0.01,0.13,0.06,0.07,0.2,1.49,0.76847,0.54944,0.21902,0,0,0.1389,0.03898,0.07774,0.00445,0.01188,0.0267,0.00632,0.00447,0.06548,0.03143,0.03852,0.10458,0.21902,0.2,0.13,1.35,0.48,0,3.49,1.01,0,0,0,0,0,0,0,0,0,0,0,-0.19,-0.57,-1.02,-0.02,6.5,-1.12,-1.96,-0.03,0,-0.16,0.16,2,0,0,74.09,74,72,74,11.8,73.59,0,71.96,59.95,50,11.63,49.13,259.62
4.19,1.23,0,0,0,0.4,0.11,0.15,0.01,0.02,0.05,0.01,0.01,0.12,0.07,0.08,0.21,0,0.63614,0.63614,0,0,0,0.207,0.05736,0.07564,0.00482,0.01188,0.02804,0.00539,0.00399,0.05982,0.03584,0.03939,0.10696,0,0.18,0.11,0.98,0.34,0,5.13,0.75,0,0,0,0,0,0,0,0,0,0,0,-0.16,-0.17,0.25,0,5.5,-0.94,-1.67,0,0,-0.01,0.29,2.06,0,0,74.99,74,72,74,3.39,72.89,0,73.94,59.56,43,6.93,53.26,271.98
6.17,1.38,1.47,0,0,0.54,0.14,0.14,0.01,0.02,0.05,0.01,0.01,0.1,0.06,0.08,0.21,1.47,0.93046,0.71347,0.21698,0,0,0.28053,0.07505,0.07354,0.00538,0.01188,0.02804,0.00605,0.00357,0.05416,0.02892,0.03939,0.10696,0.21698,0.16,0.12,0.83,0.29,0,6.69,0.66,0,0,0,0,0,0,0,0,0,0,0,-0.11,0.25,1.34,0.02,4.71,-0.87,-1.44,0.05,0,0.31,0.46,2.02,0,0,75.98,74,72,74,10.85,72.19,0,78.08,59.89,34,10.29,54.52,273.57
6.83,1.57,1.47,0,0,0.7,0.18,0.15,0.01,0.02,0.05,0.01,0.01,0.09,0.07,0.07,0.2,1.47,1.03028,0.81383,0.21645,0,0,0.36225,0.0955,0.07774,0.00575,0.01188,0.02804,0.00474,0.00292,0.04608,0.03584,0.03852,0.10458,0.21645,0.13,0.1,0.75,0.26,0,8.57,0.58,0,0,0,0,0,0,0,0,0,0,0,-0.06,0.52,1.87,0.03,5.71,-1.13,-1.61,0.14,0,0.45,0.64,2.06,0,0,76.72,74,72,74,22.33,71.18,0,80.06,60.3,31,14.99,53.57,272.94
7.45,1.75,1.47,0,0,0.83,0.22,0.17,0.01,0.02,0.05,0.01,0.01,0.1,0.05,0.08,0.21,1.47,1.12492,0.90857,0.21635,0,0,0.42842,0.11358,0.08615,0.00649,0.01188,0.02737,0.005,0.0031,0.04931,0.02766,0.04027,0.10934,0.21635,0.14,0.1,0.72,0.25,0,10.33,0.57,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.64,2.16,0.03,7.06,-1.32,-1.73,0.16,0,0.45,0.85,2.11,0,0,76.96,74,72,74,25.14,71.58,0,80.06,60.29,31,16.11,50.4,265.96
6.96,2.04,0,0,0,0.97,0.25,0.2,0.02,0.02,0.06,0.01,0.01,0.09,0.11,0.08,0.22,0,1.0582,1.0582,0,0,0,0.50544,0.1319,0.10506,0.00816,0.01188,0.02937,0.005,0.00298,0.04446,0.05784,0.04202,0.11409,0,0.13,0.1,0.86,0.3,0,12.1,0.66,0,0,0,0,0,0,0,0,0,0,0,0.05,0.6,2.46,0.04,7.89,-1.43,-1.67,0.15,0,0.59,1.03,2.45,0,0,76.89,74,72,74,18.75,70.98,0,82.04,61.71,31,12.75,44.06,247.58
9.42,2.33,1.48,0,0,1.07,0.28,0.26,0.02,0.02,0.06,0.01,0.01,0.08,0.18,0.09,0.24,1.48,1.4251,1.20707,0.21803,0,0,0.5556,0.14415,0.13657,0.01038,0.01188,0.03204,0.00645,0.00292,0.04365,0.0943,0.04552,0.1236,0.21803,0.13,0.13,1.12,0.39,0,13.39,0.83,0,0,0,0,0,0,0,0,0,0,0,0.1,0.52,2.95,0.04,7.44,-1.32,-1.36,0.16,0,0.65,1.2,3.07,0,0,76.58,74,72,74,17.34,70.88,0,82.94,62.72,32,11.63,34.87,213.34
9.54,2.36,1.48,0,0,1.05,0.27,0.35,0.02,0.02,0.06,0.02,0.01,0.08,0.14,0.09,0.24,1.48,1.44284,1.22417,0.21867,0,0,0.5426,0.14223,0.1807,0.01187,0.01188,0.03338,0.01145,0.00292,0.04123,0.07356,0.04639,0.12598,0.21867,0.13,0.24,1.21,0.42,0,13.43,0.93,0,0,0,0,0,0,0,0,0,0,0,0.17,0.43,3.58,0.04,5.45,-0.94,-0.75,0.08,0,0.58,1.3,3.52,0,0,76.1,74,72,74,10.07,70.58,0,82.04,62.44,33,6.93,22.82,148.36
8.83,2.15,1.49,0,0,0.88,0.24,0.43,0.02,0.02,0.06,0.03,0.01,0.08,0.07,0.08,0.23,1.49,1.3352,1.11634,0.21886,0,0,0.45799,0.1221,0.22062,0.01261,0.01188,0.03204,0.01461,0.00292,0.04123,0.03772,0.04377,0.11885,0.21886,0.13,0.3,1.21,0.43,0,11.74,0.96,0,0,0,0,0,0,0,0,0,0,0,0.25,0.38,4.19,0.03,1.46,-0.15,0.28,0.04,0,0.44,1.26,3.56,0,0,75.53,74,72,74,7.19,70.58,0,80.06,62.37,37,5.82,9.19,25.36
7.71,1.83,1.48,0,0,0.64,0.18,0.45,0.03,0.02,0.06,0.02,0.01,0.08,0.04,0.08,0.22,1.48,1.16542,0.94673,0.21869,0,0,0.33302,0.09469,0.23112,0.01298,0.01188,0.03138,0.01184,0.00292,0.04203,0.022,0.04114,0.11172,0.21869,0.13,0.24,1.21,0.42,0,9.35,0.94,0,0,0,0,0,0,0,0,0,0,0,0.28,0.22,4.02,0.01,-0.59,0.16,0.78,0,0,-0.07,1.06,3.48,0,0,74.98,74,72,74,0.6,70.68,0,73.04,60.83,50,0,0,0
6.53,1.48,1.48,0,0,0.49,0.14,0.32,0.02,0.02,0.06,0.02,0.01,0.08,0.03,0.08,0.21,1.48,0.98511,0.76673,0.21838,0,0,0.2547,0.07407,0.16599,0.01205,0.01188,0.03071,0.00882,0.0028,0.04365,0.01572,0.03939,0.10696,0.21838,0.12,0.18,1.18,0.41,0,7.42,0.89,0,0,0,0,0,0,0,0,0,0,0,0.29,0,3.13,-0.01,-0.81,0.28,0.98,-0.02,0,-0.3,0.82,3.06,0,0,74.45,74,72,74,4.48,70.88,0,69.98,60.13,57,4.7,0,0
5.14,1.07,1.47,0,0,0.35,0.1,0.16,0.02,0.02,0.06,0.01,0,0.07,0.02,0.07,0.18,1.47,0.77352,0.55679,0.21672,0,0,0.18367,0.05402,0.08404,0.01038,0.01188,0.02937,0.00579,0.00191,0.03557,0.01006,0.03502,0.09508,0.21672,0.08,0.12,0.83,0.29,0,5.47,0.62,0,0,0,0,0,0,0,0,0,0,0,0.28,-0.15,2.05,-0.02,-0.98,0.51,1.24,-0.03,0,-0.44,0.63,2.4,0,0,73.89,74,72,74,5.43,69.88,0,68,59.41,61,0,0,0
2.62,0.77,0,0,0,0.24,0.07,0.07,0.02,0.02,0.05,0.01,0,0.04,0.01,0.06,0.17,0,0.39743,0.39743,0,0,0,0.12595,0.0372,0.03782,0.00871,0.01188,0.02737,0.00408,0.00101,0.0194,0.00692,0.03151,0.08557,0,0.04,0.08,0.61,0.21,0,3.79,0.44,0,0,0,0,0,0,0,0,0,0,0,0.25,-0.3,1.03,-0.03,-1.02,0.63,1.36,-0.05,0,-0.51,0.45,1.99,0,0,73.43,74,72,74,7.12,67.88,0,66.92,58.94,63,3.36,0,0
3.22,0.52,1.46,0,0,0.1,0.03,0.05,0.01,0.02,0.05,0,0,0.02,0.01,0.06,0.16,1.46,0.48297,0.2686,0.21437,0,0,0.05291,0.01564,0.02521,0.00742,0.01188,0.0267,0.00197,0.00054,0.00808,0.0044,0.03064,0.08319,0.21437,0.02,0.04,0.32,0.11,0,1.6,0.23,0,0,0,0,0,0,0,0,0,0,0,0.22,-0.41,0.2,-0.04,-1.1,0.7,1.36,-0.07,-0.89,-0.56,0.3,1.89,0,0,73.1,74,72,74,8.18,66.48,104.8,66.02,58.15,63,3.36,0,0
1.25,0.37,0,0,0,0.01,0,0.04,0.01,0.02,0.05,0,0,0.01,0.01,0.06,0.15,0,0.18934,0.18934,0,0,0,0.00434,0.0013,0.02101,0.00686,0.01188,0.02604,0.00092,0.00042,0.00485,0.0044,0.02889,0.07844,0,0.02,0.02,0.14,0.05,0,0.13,0.11,0,0,0,0,0,0,0,0,0,0,0,0.18,-0.47,-0.38,-0.04,-1.26,0.77,1.34,-0.12,-1.12,-0.7,0.12,1.83,0,0,73.04,74,72,74,11.58,66.07,106.07,64.04,56.86,65,5.82,0,0
1.2,0.35,0,0,0,0.01,0,0.04,0.01,0.02,0.05,0,0,0.01,0,0.05,0.15,0,0.18229,0.18229,0,0,0,0.00495,0.0015,0.02101,0.00686,0.01188,0.02537,0.00066,0.00024,0.00323,0.00251,0.02801,0.07606,0,0.01,0.01,0.09,0.03,0,0.16,0.07,0,0,0,0,0,0,0,0,0,0,0,0.15,-0.47,-0.79,-0.05,-1.55,0.85,1.33,-0.19,0,-0.92,0.01,1.79,0,0,73.04,74,72,74,13.67,65.87,0,60.98,56.2,75,3.36,0,0
2.57,0.33,1.45,0,0,0,0,0.04,0.01,0.02,0.05,0,0,0,0,0.05,0.14,1.45,0.38325,0.16967,0.21358,0,0,0,0,0.02101,0.00649,0.01188,0.0247,0.00039,0.00024,0.00162,0.00251,0.02714,0.07368,0.21358,0.01,0.01,0.14,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.12,-0.48,-1.13,-0.05,-1.62,0.9,1.29,-0.22,0,-0.98,0.01,1.76,0,0,72.67,73.75,72,74,15.17,65.67,0,60.08,55.96,78,4.7,0,0
1.17,0.34,0,0,0,0,0,0.04,0.01,0.02,0.05,0,0,0.01,0.01,0.05,0.15,0,0.17804,0.17804,0,0,0,0,0,0.02311,0.00649,0.01188,0.02403,0.00039,0.00042,0.00323,0.0044,0.02801,0.07606,0,0.02,0.01,0.4,0.14,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.09,-0.51,-1.46,-0.06,-1.31,0.95,1.29,-0.16,-0.93,-0.76,0,1.78,0,0,72.36,73.08,72,74,14.51,65.87,86.53,62.96,55.9,65,8.05,0,0
2.82,0.39,1.49,0,0,0,0,0.07,0.01,0.02,0.05,0,0,0.01,0.01,0.06,0.15,1.49,0.4209,0.20203,0.21887,0,0,0,0,0.03782,0.00723,0.01188,0.02403,0.00132,0.00066,0.00485,0.00692,0.02889,0.07844,0.21887,0.03,0.03,1.49,0.52,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.48,-1.56,-0.05,-0.83,1.07,1.43,-0.14,-0.16,-0.43,0,1.82,0,0,72.11,73.41,72,74,20.61,66.07,22.86,66.92,56.05,51,13.87,0,0
4.8,0.5,3.08,0,0,0,0,0.12,0.02,0.02,0.05,0.01,0,0.02,0.03,0.06,0.17,3.08,0.71503,0.26137,0.45366,0,0,0,0,0.06303,0.00816,0.01188,0.02537,0.00263,0.00131,0.01293,0.01572,0.03239,0.08795,0.45366,0.06,0.05,3.38,1.19,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0.03,-0.52,-1.78,-0.04,-0.99,0.93,1.03,-0.13,-0.62,-0.53,0,1.97,0,0,72,73.12,72,74,16.62,67.08,82.47,66.02,55.3,51,11.63,0,0
5.2,0.62,3.08,0,0,0,0,0.15,0.01,0.02,0.05,0.01,0.01,0.05,0.05,0.07,0.19,3.08,0.77596,0.3219,0.45406,0,0,0,0,0.07984,0.0076,0.01188,0.0267,0.00408,0.00292,0.02587,0.0264,0.03677,0.09983,0.45406,0.13,0.08,3.35,1.18,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.57,-1.8,-0.04,0.36,0.65,0.56,-0.05,-0.18,-0.29,0,2.16,0,0,72.05,73.5,72,74,11.2,68.68,37.82,69.08,56,44,10.29,6.02,25.36
5.46,0.71,3.05,0,0,0.02,0.01,0.17,0.01,0.02,0.05,0.01,0.01,0.07,0.06,0.07,0.2,3.05,0.81531,0.36573,0.44958,0,0,0.01172,0.00332,0.08615,0.00575,0.01188,0.02737,0.00763,0.00435,0.0388,0.02892,0.03764,0.10221,0.44958,0.19,0.16,2.73,0.96,0,0.34,1.88,0,0,0,0,0,0,0,0,0,0,0,-0.12,-0.78,-2.24,-0.03,4.6,-0.51,-1.04,-0.02,-0.62,-0.18,0,2,0,0,72.48,74,72,74,6.37,70.28,199.87,71.06,57.57,44,8.05,16.17,167.38
5.09,1.05,1.51,0,0,0.27,0.07,0.17,0.01,0.02,0.05,0.02,0.01,0.11,0.06,0.07,0.2,1.51,0.76597,0.54358,0.22239,0,0,0.13867,0.0362,0.08615,0.00463,0.01188,0.02737,0.00855,0.00512,0.05497,0.03018,0.03764,0.10221,0.22239,0.22,0.18,2.12,0.75,0,3.59,1.53,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.84,-2.03,-0.02,7.44,-1.19,-2.13,0.07,0,0.45,0.03,1.97,0,0,73.4,74,72,74,10.71,72.29,0,80.06,60.29,31,9.17,25.04,237.11
6.99,1.34,2.42,0,0,0.51,0.13,0.16,0.01,0.02,0.05,0.01,0.01,0.12,0.05,0.07,0.2,2.42,1.05154,0.69502,0.35652,0,0,0.26352,0.06485,0.08194,0.00445,0.01188,0.0267,0.00737,0.005,0.06305,0.0264,0.03764,0.10221,0.35652,0.22,0.15,1.73,0.61,0,6.37,1.26,0,0,0,0,0,0,0,0,0,0,0,-0.23,-0.67,-0.95,0.01,8.58,-1.4,-2.38,0.39,0,0.9,0.29,1.95,0,0,73.95,74,72,74,31.9,73.29,0,86,60.86,22,17.22,32.33,269.13
7.22,1.51,2.06,0,0,0.64,0.16,0.15,0.01,0.02,0.05,0.01,0.01,0.13,0.06,0.07,0.2,2.06,1.08795,0.78453,0.30342,0,0,0.32953,0.08343,0.07774,0.00445,0.01188,0.0267,0.00632,0.00447,0.06548,0.03143,0.03852,0.10458,0.30342,0.2,0.13,1.35,0.47,0,8.27,1,0,0,0,0,0,0,0,0,0,0,0,-0.19,-0.38,0.8,0.03,7.71,-1.19,-2.06,0.34,0,0.76,0.53,2,0,0,74.58,74,72,74,33.55,73.59,0,84.02,61.2,26,18.34,37.09,285.3
5.57,1.63,0,0,0,0.73,0.19,0.15,0.01,0.02,0.05,0.01,0.01,0.12,0.07,0.08,0.21,0,0.84622,0.84622,0,0,0,0.37829,0.09616,0.07564,0.00482,0.01188,0.02804,0.00539,0.00399,0.05982,0.03584,0.03939,0.10696,0,0.18,0.11,0.97,0.34,0,9.61,0.75,0,0,0,0,0,0,0,0,0,0,0,-0.14,-0.09,2.19,0.04,6.32,-0.93,-1.59,0.35,0,0.75,0.71,2.06,0,0,75.3,74,72,74,33.71,72.89,0,84.02,61.99,28,18.34,40.26,292.59
7.11,1.65,1.47,0,0,0.76,0.2,0.14,0.01,0.02,0.05,0.01,0.01,0.1,0.06,0.08,0.21,1.47,1.07301,0.85605,0.21696,0,0,0.39602,0.10214,0.07354,0.00538,0.01188,0.02804,0.00605,0.00357,0.05416,0.02892,0.03939,0.10696,0.21696,0.16,0.12,0.83,0.29,0,10.32,0.66,0,0,0,0,0,0,0,0,0,0,0,-0.07,0.21,3.02,0.05,5.07,-0.72,-1.17,0.44,0,0.66,0.86,2.02,0,0,75.8,74,72,74,48.36,72.19,0,82.94,65.62,40,23.04,41.21,292.59
7.35,1.72,1.47,0,0,0.82,0.21,0.15,0.01,0.02,0.05,0.01,0.01,0.09,0.07,0.07,0.2,1.47,1.10955,0.89312,0.21644,0,0,0.42668,0.11036,0.07774,0.00575,0.01188,0.02804,0.00474,0.00292,0.04608,0.03584,0.03852,0.10458,0.21644,0.13,0.1,0.74,0.26,0,11.24,0.58,0,0,0,0,0,0,0,0,0,0,0,-0.02,0.33,3.12,0.04,5.82,-0.89,-1.18,0.41,0,0.65,0.95,2.06,0,0,76.19,74,72,74,44.77,71.18,0,82.94,66.65,43,21.92,40.26,289.74
6.21,1.82,0,0,0,0.88,0.23,0.17,0.01,0.02,0.05,0.01,0.01,0.1,0.05,0.08,0.21,0,0.94358,0.94358,0,0,0,0.4572,0.11982,0.08615,0.00649,0.01188,0.02737,0.005,0.0031,0.04931,0.02766,0.04027,0.10934,0,0.14,0.1,0.72,0.25,0,12.29,0.56,0,0,0,0,0,0,0,0,0,0,0,0.02,0.38,2.98,0.04,7.1,-1.09,-1.28,0.43,0,0.59,1.06,2.11,0,0,76.35,74,72,74,52.09,71.58,0,82.04,65.27,41,24.16,38.04,283.71
8.4,2.03,1.47,0,0,0.97,0.25,0.2,0.02,0.02,0.06,0.01,0.01,0.09,0.11,0.08,0.22,1.47,1.26917,1.05221,0.21696,0,0,0.50101,0.13035,0.10506,0.00816,0.01188,0.02937,0.005,0.00298,0.04446,0.05784,0.04202,0.11409,0.21696,0.13,0.1,0.86,0.3,0,13.36,0.65,0,0,0,0,0,0,0,0,0,0,0,0.05,0.33,2.92,0.04,8.06,-1.23,-1.29,0.28,0,0.65,1.16,2.45,0,0,76.31,74,72,74,30.26,70.98,0,82.94,63.11,33,17.22,33.28,271.03
9.17,2.25,1.48,0,0,1.01,0.27,0.26,0.02,0.02,0.06,0.01,0.01,0.08,0.18,0.09,0.24,1.48,1.38694,1.16894,0.218,0,0,0.52367,0.13795,0.13657,0.01038,0.01188,0.03204,0.00645,0.00292,0.04365,0.0943,0.04552,0.1236,0.218,0.13,0.13,1.11,0.39,0,14.19,0.83,0,0,0,0,0,0,0,0,0,0,0,0.1,0.27,3.12,0.04,7.65,-1.14,-1.05,0.34,0,0.59,1.26,3.07,0,0,76.09,74,72,74,40.58,70.88,0,82.04,61,29,20.8,26.63,244.41
9.2,2.26,1.48,0,0,0.96,0.26,0.35,0.02,0.02,0.06,0.02,0.01,0.08,0.14,0.09,0.24,1.48,1.39117,1.17253,0.21864,0,0,0.49889,0.1343,0.1807,0.01187,0.01188,0.03338,0.01145,0.00292,0.04123,0.07356,0.04639,0.12598,0.21864,0.13,0.24,1.2,0.42,0,13.93,0.93,0,0,0,0,0,0,0,0,0,0,0,0.15,0.2,3.46,0.03,5.85,-0.8,-0.51,0.3,0,0.44,1.32,3.52,0,0,75.65,74,72,74,47.32,70.58,0,80.06,59.96,30,23.04,17.75,186.4
8.29,1.99,1.49,0,0,0.75,0.21,0.43,0.02,0.02,0.06,0.03,0.01,0.08,0.07,0.08,0.23,1.49,1.25294,1.03411,0.21883,0,0,0.38907,0.1088,0.22062,0.01261,0.01188,0.03204,0.01461,0.00292,0.04123,0.03772,0.04377,0.11885,0.21883,0.13,0.3,1.2,0.42,0,11.46,0.96,0,0,0,0,0,0,0,0,0,0,0,0.23,0.17,3.75,0.02,1.62,0.08,0.58,0.05,0,0.14,1.26,3.56,0,0,75.03,74,72,74,22.9,70.58,0,75.92,56.7,29,16.11,7.92,48.5
6.98,1.61,1.48,0,0,0.47,0.13,0.45,0.03,0.02,0.06,0.02,0.01,0.08,0.04,0.08,0.22,1.48,1.05322,0.83456,0.21866,0,0,0.24556,0.06998,0.23112,0.01298,0.01188,0.03138,0.01184,0.00292,0.04203,0.022,0.04114,0.11172,0.21866,0.13,0.24,1.2,0.42,0,7.46,0.93,0,0,0,0,0,0,0,0,0,0,0,0.26,0.03,3.35,0.01,-0.49,0.4,1.09,-0.02,-1.59,-0.07,1,3.48,0,0,74.62,74,72,74,16.58,70.68,1560.56,73.04,55.91,33,13.87,0,0
5.79,1.26,1.48,0,0,0.32,0.09,0.32,0.02,0.02,0.06,0.02,0.01,0.08,0.03,0.08,0.21,1.48,0.87291,0.65457,0.21835,0,0,0.16769,0.04891,0.16599,0.01205,0.01188,0.03071,0.00882,0.0028,0.04365,0.01572,0.03939,0.10696,0.21835,0.12,0.18,1.18,0.41,0,5.27,0.88,0,0,0,0,0,0,0,0,0,0,0,0.26,-0.11,2.46,-0.01,-0.77,0.51,1.21,-0.07,-1.6,-0.3,0.64,3.06,0,0,74.51,74,72,74,15.75,70.88,375.07,69.98,55.93,41,12.75,0,0
4.28,0.82,1.47,0,0,0.16,0.05,0.16,0.02,0.02,0.06,0.01,0,0.07,0.02,0.07,0.18,1.47,0.64398,0.42728,0.2167,0,0,0.08345,0.02473,0.08404,0.01038,0.01188,0.02937,0.00579,0.00191,0.03557,0.01006,0.03502,0.09508,0.2167,0.08,0.12,0.83,0.29,0,2.76,0.62,0,0,0,0,0,0,0,0,0,0,0,0.25,-0.16,1.53,-0.02,-0.91,0.66,1.34,-0.18,-2.15,-0.45,0.45,2.4,0,0,74.21,74,72,74,28.56,69.88,335.86,68,56.48,49,17.22,0,0
1.81,0.53,0,0,0,0.06,0.02,0.07,0.02,0.02,0.05,0.01,0,0.04,0.01,0.06,0.17,0,0.27487,0.27487,0,0,0,0.03113,0.00946,0.03782,0.00871,0.01188,0.02737,0.00408,0.00101,0.0194,0.00692,0.03151,0.08557,0,0.04,0.08,0.6,0.21,0,1.09,0.44,0,0,0,0,0,0,0,0,0,0,0,0.23,-0.2,0.74,-0.03,-1.2,0.8,1.43,-0.24,-1.98,-0.66,0.23,1.99,0,0,74.09,74,72,74,25.17,67.88,203.39,64.94,55.63,56,14.99,0,0
3.14,0.49,1.46,0,0,0.08,0.03,0.05,0.01,0.02,0.05,0,0,0.02,0.01,0.06,0.16,1.46,0.47068,0.25632,0.21436,0,0,0.04286,0.01342,0.02521,0.00742,0.01188,0.0267,0.00197,0.00054,0.00808,0.0044,0.03064,0.08319,0.21436,0.02,0.04,0.32,0.11,0,1.57,0.23,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.23,0.07,-0.04,-1.6,0.89,1.45,-0.21,0,-0.94,0.09,1.89,0,0,73.94,74,72,74,14.73,66.48,0,60.98,54.18,65,5.82,0,0
1.24,0.36,0,0,0,0.01,0,0.04,0.01,0.02,0.05,0,0,0.01,0.01,0.06,0.15,0,0.18876,0.18876,0,0,0,0.00384,0.00122,0.02101,0.00686,0.01188,0.02604,0.00092,0.00042,0.00485,0.0044,0.02889,0.07844,0,0.02,0.02,0.14,0.05,0,0.14,0.11,0,0,0,0,0,0,0,0,0,0,0,0.18,-0.28,-0.5,-0.05,-1.98,1,1.48,-0.41,0,-1.22,0.13,1.83,0,0,73.22,74,72,74,21.96,66.07,0,57.02,52.57,75,9.17,0,0
1.16,0.34,0,0,0,0,0,0.04,0.01,0.02,0.05,0,0,0.01,0,0.05,0.15,0,0.17584,0.17584,0,0,0,0,0,0.02101,0.00686,0.01188,0.02537,0.00066,0.00024,0.00323,0.00251,0.02801,0.07606,0,0.01,0.01,0.09,0.03,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.16,-0.38,-1.03,-0.06,-2.1,1.08,1.5,-0.73,0,-1.3,0.01,1.79,0,0,72.94,73.4,72,74,38.41,65.87,0,55.94,51.57,75,17.22,0,0
2.57,0.33,1.45,0,0,0,0,0.04,0.01,0.02,0.05,0,0,0,0,0.05,0.14,1.45,0.38325,0.16967,0.21358,0,0,0,0,0.02101,0.00649,0.01188,0.0247,0.00039,0.00024,0.00162,0.00251,0.02714,0.07368,0.21358,0.01,0.01,0.14,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.15,-0.38,-1.35,-0.07,-2.24,1.35,1.85,-0.87,0,-1.4,0,1.76,0,0,72.46,72.67,72,74,42.55,65.67,0,53.96,50.1,77,18.34,0,0
1.17,0.34,0,0,0,0,0,0.04,0.01,0.02,0.05,0,0,0.01,0.01,0.05,0.15,0,0.17804,0.17804,0,0,0,0,0,0.02311,0.00649,0.01188,0.02403,0.00039,0.00042,0.00323,0.0044,0.02801,0.07606,0,0.02,0.01,0.4,0.14,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0.14,-0.37,-1.6,-0.07,-2.27,1.58,2.18,-0.97,0,-1.42,0,1.79,0,0,71.81,72.06,72,74,46.42,65.87,0,53.06,48.75,74,19.69,0,0
